Model,Question_ID,Score,Points,Total Points
O1,2016H,58.3333,5.8333,10.0
Claude Opus,2016I,63.6364,6.3636,10.0
Claude Sonnet 4.5,2016I,45.4545,4.5455,10.0
GPT-4o,2016I,0.0,0.0,10.0
GPT-5,2016I,95.4545,9.5454,10.0
Gemini 2.5 Flash,2016I,72.7273,7.2727,10.0
Gemini 2.5 Pro,2016I,100.0,10.0,10.0
Grok,2016I,18.1818,1.8182,10.0
O1,2016I,59.0909,5.9091,10.0
Claude Opus,2016J,12.0,1.8,15.0
Claude Sonnet 4.5,2016J,20.0,3.0,15.0
GPT-4o,2016J,0.0,0.0,15.0
GPT-5,2016J,24.0,3.6,15.0
Gemini 2.5 Flash,2016J,64.0,9.6,15.0
Gemini 2.5 Pro,2016J,44.0,6.6,15.0
Grok,2016J,4.0,0.6,15.0
O1,2016J,40.0,6.0,15.0
Claude Opus,2016K,27.2727,4.0909,15.0
Claude Sonnet 4.5,2016K,18.1818,2.7273,15.0
GPT-4o,2016K,0.0,0.0,15.0
GPT-5,2016K,63.6364,9.5455,15.0
Gemini 2.5 Flash,2016K,18.1818,2.7273,15.0
Gemini 2.5 Pro,2016K,27.2727,4.0909,15.0
Grok,2016K,0.0,0.0,15.0
O1,2016K,9.0909,1.3636,15.0
Claude Opus,2016L,16.6667,1.6667,10.0
Claude Sonnet 4.5,2016L,0.0,0.0,10.0
GPT-4o,2016L,0.0,0.0,10.0
GPT-5,2016L,100.0,10.0,10.0
Gemini 2.5 Flash,2016L,83.3333,8.3333,10.0
Gemini 2.5 Pro,2016L,83.3333,8.3333,10.0
Grok,2016L,58.3333,5.8333,10.0
O1,2016L,16.6667,1.6667,10.0
Claude Opus,2016M,12.5,0.625,5.0
Claude Sonnet 4.5,2016M,12.5,0.625,5.0
GPT-4o,2016M,12.5,0.625,5.0
GPT-5,2016M,12.5,0.625,5.0
Gemini 2.5 Flash,2016M,18.75,0.9375,5.0
Gemini 2.5 Pro,2016M,62.5,3.125,5.0
Grok,2016M,12.5,0.625,5.0
O1,2016M,12.5,0.625,5.0
Claude Opus,2016N,100.0,5.0,5.0
Claude Sonnet 4.5,2016N,100.0,5.0,5.0
GPT-4o,2016N,76.9231,3.8462,5.0
GPT-5,2016N,100.0,5.0,5.0
Gemini 2.5 Flash,2016N,100.0,5.0,5.0
Gemini 2.5 Pro,2016N,100.0,5.0,5.0
Grok,2016N,23.0769,1.1538,5.0
O1,2016N,100.0,5.0,5.0
Claude Opus,2016O,0.0,0.0,10.0
Claude Sonnet 4.5,2016O,0.0,0.0,10.0
GPT-4o,2016O,0.0,0.0,10.0
GPT-5,2016O,31.25,3.125,10.0
Gemini 2.5 Flash,2016O,12.5,1.25,10.0
Gemini 2.5 Pro,2016O,43.75,4.375,10.0
Grok,2016O,0.0,0.0,10.0
O1,2016O,0.0,0.0,10.0
Claude Opus,2016P,25.0,2.5,10.0
Claude Sonnet 4.5,2016P,25.0,2.5,10.0
GPT-4o,2016P,0.0,0.0,10.0
GPT-5,2016P,0.0,0.0,10.0
Gemini 2.5 Flash,2016P,25.0,2.5,10.0
Gemini 2.5 Pro,2016P,25.0,2.5,10.0
Grok,2016P,0.0,0.0,10.0
O1,2016P,0.0,0.0,10.0
Claude Opus,2016Q,40.0,6.0,15.0
Claude Sonnet 4.5,2016Q,40.0,6.0,15.0
GPT-4o,2016Q,0.0,0.0,15.0
GPT-5,2016Q,0.0,0.0,15.0
Gemini 2.5 Flash,2016Q,0.0,0.0,15.0
Gemini 2.5 Pro,2016Q,20.0,3.0,15.0
Grok,2016Q,60.0,9.0,15.0
O1,2016Q,20.0,3.0,15.0
Claude Opus,2016R,80.0,4.0,5.0
Claude Sonnet 4.5,2016R,80.0,4.0,5.0
GPT-4o,2016R,6.6667,0.3333,5.0
GPT-5,2016R,100.0,5.0,5.0
Gemini 2.5 Flash,2016R,100.0,5.0,5.0
Gemini 2.5 Pro,2016R,100.0,5.0,5.0
Grok,2016R,53.3333,2.6667,5.0
O1,2016R,40.0,2.0,5.0
Claude Opus,2017A,87.5,4.375,5.0
Claude Sonnet 4.5,2017A,81.25,4.0625,5.0
GPT-4o,2017A,56.25,2.8125,5.0
GPT-5,2017A,100.0,5.0,5.0
Gemini 2.5 Flash,2017A,75.0,3.75,5.0
Gemini 2.5 Pro,2017A,100.0,5.0,5.0
Grok,2017A,43.75,2.1875,5.0
O1,2017A,87.5,4.375,5.0
Claude Opus,2017B,100.0,10.0,10.0
Claude Sonnet 4.5,2017B,100.0,10.0,10.0
GPT-4o,2017B,95.0,9.5,10.0
GPT-5,2017B,100.0,10.0,10.0
Gemini 2.5 Flash,2017B,100.0,10.0,10.0
Gemini 2.5 Pro,2017B,100.0,10.0,10.0
Grok,2017B,90.0,9.0,10.0
O1,2017B,100.0,10.0,10.0
Claude Opus,2017C,5.8824,0.5882,10.0
Claude Sonnet 4.5,2017C,41.1765,4.1177,10.0
GPT-4o,2017C,12.5,1.25,10.0
GPT-5,2017C,35.2941,3.5294,10.0
Gemini 2.5 Flash,2017C,52.9412,5.2941,10.0
Gemini 2.5 Pro,2017C,23.5294,2.3529,10.0
Grok,2017C,0.0,0.0,10.0
O1,2017C,29.4118,2.9412,10.0
Claude Opus,2017D,100.0,10.0,10.0
Claude Sonnet 4.5,2017D,90.0,9.0,10.0
GPT-4o,2017D,0.0,0.0,10.0
GPT-5,2017D,100.0,10.0,10.0
Gemini 2.5 Flash,2017D,90.0,9.0,10.0
Grok,2017D,90.0,9.0,10.0
O1,2017D,100.0,10.0,10.0
Claude Opus,2017E,92.0,18.4,20.0
Claude Sonnet 4.5,2017E,100.0,20.0,20.0
GPT-4o,2017E,0.0,0.0,20.0
GPT-5,2017E,100.0,20.0,20.0
Gemini 2.5 Flash,2017E,100.0,20.0,20.0
Gemini 2.5 Pro,2017E,100.0,20.0,20.0
Grok,2017E,4.0,0.8,20.0
O1,2017E,100.0,20.0,20.0
Claude Opus,2017F,100.0,10.0,10.0
Claude Sonnet 4.5,2017F,63.6364,6.3636,10.0
GPT-4o,2017F,54.5455,5.4546,10.0
GPT-5,2017F,100.0,10.0,10.0
Gemini 2.5 Flash,2017F,100.0,10.0,10.0
Gemini 2.5 Pro,2017F,100.0,10.0,10.0
Grok,2017F,81.8182,8.1818,10.0
O1,2017F,100.0,10.0,10.0
Claude Opus,2017G,22.2222,3.3333,15.0
Claude Sonnet 4.5,2017G,88.8889,13.3333,15.0
GPT-4o,2017G,0.0,0.0,15.0
GPT-5,2017G,88.8889,13.3333,15.0
Gemini 2.5 Flash,2017G,22.2222,3.3333,15.0
Gemini 2.5 Pro,2017G,100.0,15.0,15.0
Grok,2017G,88.8889,13.3333,15.0
O1,2017G,88.8889,13.3333,15.0
Claude Opus,2017H,0.0,0.0,15.0
Claude Sonnet 4.5,2017H,0.0,0.0,15.0
GPT-4o,2017H,0.0,0.0,15.0
GPT-5,2017H,100.0,15.0,15.0
Gemini 2.5 Flash,2017H,0.0,0.0,15.0
Gemini 2.5 Pro,2017H,100.0,15.0,15.0
Grok,2017H,100.0,15.0,15.0
O1,2017H,0.0,0.0,15.0
Claude Opus,2017I,97.619,9.7619,10.0
Claude Sonnet 4.5,2017I,95.2381,9.5238,10.0
GPT-4o,2017I,0.0,0.0,10.0
GPT-5,2017I,90.4762,9.0476,10.0
Gemini 2.5 Flash,2017I,85.7143,8.5714,10.0
Gemini 2.5 Pro,2017I,92.8571,9.2857,10.0
Grok,2017I,73.8095,7.3809,10.0
O1,2017I,85.7143,8.5714,10.0
Claude Opus,2017J,100.0,5.0,5.0
Claude Sonnet 4.5,2017J,100.0,5.0,5.0
GPT-4o,2017J,38.2353,1.9118,5.0
GPT-5,2017J,100.0,5.0,5.0
Gemini 2.5 Flash,2017J,100.0,5.0,5.0
Gemini 2.5 Pro,2017J,100.0,5.0,5.0
Grok,2017J,58.8235,2.9412,5.0
O1,2017J,58.8235,2.9412,5.0
Claude Opus,2017K,33.3333,3.3333,10.0
Claude Sonnet 4.5,2017K,33.3333,3.3333,10.0
GPT-4o,2017K,0.0,0.0,10.0
GPT-5,2017K,100.0,10.0,10.0
Gemini 2.5 Flash,2017K,66.6667,6.6667,10.0
Gemini 2.5 Pro,2017K,66.6667,6.6667,10.0
Grok,2017K,100.0,10.0,10.0
O1,2017K,33.3333,3.3333,10.0
Claude Opus,2017L,33.3333,5.0,15.0
Claude Sonnet 4.5,2017L,41.6667,6.25,15.0
GPT-4o,2017L,0.0,0.0,15.0
GPT-5,2017L,83.3333,12.5,15.0
Gemini 2.5 Flash,2017L,33.3333,5.0,15.0
Gemini 2.5 Pro,2017L,91.6667,13.75,15.0
Grok,2017L,16.6667,2.5,15.0
O1,2017L,16.6667,2.5,15.0
Claude Opus,2017M,100.0,5.0,5.0
Claude Sonnet 4.5,2017M,91.6667,4.5833,5.0
GPT-4o,2017M,25.0,1.25,5.0
GPT-5,2017M,91.6667,4.5833,5.0
Gemini 2.5 Flash,2017M,100.0,5.0,5.0
Gemini 2.5 Pro,2017M,91.6667,4.5833,5.0
Grok,2017M,50.0,2.5,5.0
O1,2017M,83.3333,4.1667,5.0
Claude Opus,2017N,97.8261,9.7826,10.0
Claude Sonnet 4.5,2017N,95.6522,9.5652,10.0
GPT-4o,2017N,0.0,0.0,10.0
GPT-5,2017N,100.0,10.0,10.0
Gemini 2.5 Flash,2017N,97.8261,9.7826,10.0
Gemini 2.5 Pro,2017N,97.8261,9.7826,10.0
Grok,2017N,76.087,7.6087,10.0
O1,2017N,97.8261,9.7826,10.0
Claude Opus,2017O,45.4545,4.5455,10.0
Claude Sonnet 4.5,2017O,45.4545,4.5455,10.0
GPT-4o,2017O,0.0,0.0,10.0
GPT-5,2017O,54.5455,5.4546,10.0
Gemini 2.5 Flash,2017O,45.4545,4.5455,10.0
Gemini 2.5 Pro,2017O,54.5455,5.4546,10.0
Grok,2017O,9.0909,0.9091,10.0
O1,2017O,0.0,0.0,10.0
Claude Opus,2017P,0.0,0.0,10.0
Claude Sonnet 4.5,2017P,66.6667,6.6667,10.0
GPT-4o,2017P,0.0,0.0,10.0
GPT-5,2017P,100.0,10.0,10.0
Gemini 2.5 Flash,2017P,66.6667,6.6667,10.0
Gemini 2.5 Pro,2017P,100.0,10.0,10.0
Grok,2017P,0.0,0.0,10.0
O1,2017P,66.6667,6.6667,10.0
Claude Opus,2017Q,20.0,3.0,15.0
Claude Sonnet 4.5,2017Q,50.0,7.5,15.0
GPT-4o,2017Q,0.0,0.0,15.0
GPT-5,2017Q,100.0,15.0,15.0
Gemini 2.5 Flash,2017Q,30.0,4.5,15.0
Gemini 2.5 Pro,2017Q,85.0,12.75,15.0
Grok,2017Q,20.0,3.0,15.0
O1,2017Q,0.0,0.0,15.0
Claude Opus,2017R,0.0,0.0,10.0
Claude Sonnet 4.5,2017R,7.1429,0.7143,10.0
GPT-4o,2017R,0.0,0.0,10.0
GPT-5,2017R,92.8571,9.2857,10.0
Gemini 2.5 Flash,2017R,7.1429,0.7143,10.0
Gemini 2.5 Pro,2017R,100.0,10.0,10.0
Grok,2017R,7.1429,0.7143,10.0
O1,2017R,14.2857,1.4286,10.0
Claude Opus,2018A,93.75,9.375,10.0
Claude Sonnet 4.5,2018A,43.75,4.375,10.0
GPT-4o,2018A,0.0,0.0,10.0
GPT-5,2018A,81.25,8.125,10.0
Gemini 2.5 Flash,2018A,62.5,6.25,10.0
Gemini 2.5 Pro,2018A,87.5,8.75,10.0
Grok,2018A,18.75,1.875,10.0
O1,2018A,0.0,0.0,10.0
Claude Opus,2018B,28.5714,5.7143,20.0
Claude Sonnet 4.5,2018B,57.1429,11.4286,20.0
GPT-4o,2018B,0.0,0.0,20.0
GPT-5,2018B,85.7143,17.1429,20.0
Gemini 2.5 Pro,2018B,42.8571,8.5714,20.0
Grok,2018B,28.5714,5.7143,20.0
O1,2018B,0.0,0.0,20.0
Claude Opus,2018C,65.0,13.0,20.0
Claude Sonnet 4.5,2018C,65.0,13.0,20.0
GPT-4o,2018C,75.0,15.0,20.0
GPT-5,2018C,85.0,17.0,20.0
Gemini 2.5 Flash,2018C,95.0,19.0,20.0
Gemini 2.5 Pro,2018C,100.0,20.0,20.0
Grok,2018C,80.0,16.0,20.0
O1,2018C,15.0,3.0,20.0
Claude Opus,2018D,33.3333,1.6667,5.0
Claude Sonnet 4.5,2018D,55.5556,2.7778,5.0
GPT-4o,2018D,0.0,0.0,5.0
GPT-5,2018D,100.0,5.0,5.0
Gemini 2.5 Flash,2018D,100.0,5.0,5.0
Gemini 2.5 Pro,2018D,100.0,5.0,5.0
Grok,2018D,11.1111,0.5556,5.0
O1,2018D,0.0,0.0,5.0
Claude Opus,2018E,16.6667,0.8333,5.0
Claude Sonnet 4.5,2018E,41.6667,2.0833,5.0
GPT-4o,2018E,0.0,0.0,5.0
GPT-5,2018E,100.0,5.0,5.0
Gemini 2.5 Flash,2018E,50.0,2.5,5.0
Gemini 2.5 Pro,2018E,100.0,5.0,5.0
Grok,2018E,45.8333,2.2917,5.0
O1,2018E,0.0,0.0,5.0
Claude Opus,2018F,83.3333,12.5,15.0
Claude Sonnet 4.5,2018F,95.8333,14.375,15.0
GPT-4o,2018F,91.6667,13.75,15.0
GPT-5,2018F,100.0,15.0,15.0
Gemini 2.5 Flash,2018F,100.0,15.0,15.0
Gemini 2.5 Pro,2018F,100.0,15.0,15.0
Grok,2018F,83.3333,12.5,15.0
O1,2018F,4.1667,0.625,15.0
Claude Opus,2018G,68.75,6.875,10.0
Claude Sonnet 4.5,2018G,68.75,6.875,10.0
GPT-4o,2018G,50.0,5.0,10.0
GPT-5,2018G,100.0,10.0,10.0
Gemini 2.5 Flash,2018G,68.75,6.875,10.0
Gemini 2.5 Pro,2018G,100.0,10.0,10.0
Grok,2018G,56.25,5.625,10.0
O1,2018G,6.25,0.625,10.0
Claude Opus,2018H,6.6667,1.0,15.0
Claude Sonnet 4.5,2018H,6.6667,1.0,15.0
GPT-4o,2018H,0.0,0.0,15.0
GPT-5,2018H,0.0,0.0,15.0
Gemini 2.5 Flash,2018H,0.0,0.0,15.0
Gemini 2.5 Pro,2018H,6.6667,1.0,15.0
Grok,2018H,6.6667,1.0,15.0
O1,2018H,6.6667,1.0,15.0
Claude Opus,2018I,2.0,0.3,15.0
Claude Sonnet 4.5,2018I,0.0,0.0,15.0
GPT-4o,2018I,12.0,1.8,15.0
GPT-5,2018I,20.0,3.0,15.0
Gemini 2.5 Flash,2018I,16.0,2.4,15.0
Gemini 2.5 Pro,2018I,48.0,7.2,15.0
Grok,2018I,20.0,3.0,15.0
O1,2018I,8.0,1.2,15.0
Claude Opus,2018J,13.1579,1.3158,10.0
Claude Sonnet 4.5,2018J,68.4211,6.8421,10.0
GPT-4o,2018J,10.5263,1.0526,10.0
GPT-5,2018J,76.3158,7.6316,10.0
Gemini 2.5 Flash,2018J,63.1579,6.3158,10.0
Gemini 2.5 Pro,2018J,65.7895,6.5789,10.0
Grok,2018J,39.4737,3.9474,10.0
O1,2018J,47.3684,4.7368,10.0
Claude Opus,2018K,19.0476,1.9048,10.0
Claude Sonnet 4.5,2018K,47.619,4.7619,10.0
GPT-4o,2018K,0.0,0.0,10.0
GPT-5,2018K,38.0952,3.8095,10.0
Gemini 2.5 Flash,2018K,100.0,10.0,10.0
Gemini 2.5 Pro,2018K,100.0,10.0,10.0
Grok,2018K,23.8095,2.3809,10.0
O1,2018K,9.5238,0.9524,10.0
Claude Opus,2018L,41.9355,2.0968,5.0
Claude Sonnet 4.5,2018L,74.1935,3.7097,5.0
GPT-4o,2018L,8.0645,0.4032,5.0
GPT-5,2018L,96.7742,4.8387,5.0
Gemini 2.5 Flash,2018L,80.6452,4.0323,5.0
Gemini 2.5 Pro,2018L,96.7742,4.8387,5.0
Grok,2018L,70.9677,3.5484,5.0
O1,2018L,80.6452,4.0323,5.0
Claude Opus,2018M,6.0606,0.9091,15.0
Claude Sonnet 4.5,2018M,0.0,0.0,15.0
GPT-4o,2018M,3.0303,0.4545,15.0
GPT-5,2018M,4.5455,0.6818,15.0
Gemini 2.5 Pro,2018M,6.0606,0.9091,15.0
Grok,2018M,0.0,0.0,15.0
O1,2018M,0.0,0.0,15.0
Claude Opus,2018N,25.0,2.5,10.0
Claude Sonnet 4.5,2018N,46.4286,4.6429,10.0
GPT-4o,2018N,7.1429,0.7143,10.0
GPT-5,2018N,85.7143,8.5714,10.0
Gemini 2.5 Flash,2018N,32.1429,3.2143,10.0
Gemini 2.5 Pro,2018N,100.0,10.0,10.0
Grok,2018N,50.0,5.0,10.0
O1,2018N,57.1429,5.7143,10.0
Claude Opus,2018O,55.0,2.75,5.0
Claude Sonnet 4.5,2018O,67.5,3.375,5.0
GPT-4o,2018O,0.0,0.0,5.0
GPT-5,2018O,72.5,3.625,5.0
Gemini 2.5 Flash,2018O,52.5,2.625,5.0
Gemini 2.5 Pro,2018O,57.5,2.875,5.0
Grok,2018O,30.0,1.5,5.0
O1,2018O,67.5,3.375,5.0
Claude Opus,2018P,50.0,2.5,5.0
Claude Sonnet 4.5,2018P,15.0,0.75,5.0
GPT-4o,2018P,5.0,0.25,5.0
GPT-5,2018P,100.0,5.0,5.0
Gemini 2.5 Flash,2018P,100.0,5.0,5.0
Gemini 2.5 Pro,2018P,97.5,4.875,5.0
Grok,2018P,95.0,4.75,5.0
O1,2018P,15.0,0.75,5.0
Claude Opus,2018Q,58.8235,5.8824,10.0
Claude Sonnet 4.5,2018Q,82.3529,8.2353,10.0
GPT-4o,2018Q,32.3529,3.2353,10.0
GPT-5,2018Q,91.1765,9.1177,10.0
Gemini 2.5 Flash,2018Q,73.5294,7.3529,10.0
Gemini 2.5 Pro,2018Q,100.0,10.0,10.0
Grok,2018Q,52.9412,5.2941,10.0
O1,2018Q,58.8235,5.8824,10.0
Claude Opus,2018R,0.0,0.0,15.0
Claude Sonnet 4.5,2018R,28.5714,4.2857,15.0
GPT-4o,2018R,0.0,0.0,15.0
GPT-5,2018R,0.0,0.0,15.0
Gemini 2.5 Flash,2018R,35.7143,5.3571,15.0
Gemini 2.5 Pro,2018R,57.1429,8.5714,15.0
Grok,2018R,14.2857,2.1429,15.0
O1,2018R,0.0,0.0,15.0
Claude Opus,2019A,66.6667,6.6667,10.0
Claude Sonnet 4.5,2019A,77.7778,7.7778,10.0
GPT-4o,2019A,0.0,0.0,10.0
GPT-5,2019A,77.7778,7.7778,10.0
Gemini 2.5 Flash,2019A,72.2222,7.2222,10.0
Gemini 2.5 Pro,2019A,88.8889,8.8889,10.0
Grok,2019A,22.2222,2.2222,10.0
O1,2019A,72.2222,7.2222,10.0
Claude Opus,2019B,87.5,13.125,15.0
Claude Sonnet 4.5,2019B,93.75,14.0625,15.0
GPT-4o,2019B,0.0,0.0,15.0
GPT-5,2019B,93.75,14.0625,15.0
Gemini 2.5 Flash,2019B,81.25,12.1875,15.0
Gemini 2.5 Pro,2019B,87.5,13.125,15.0
Grok,2019B,75.0,11.25,15.0
O1,2019B,75.0,11.25,15.0
Claude Opus,2019C,0.0,0.0,10.0
Claude Sonnet 4.5,2019C,33.3333,3.3333,10.0
GPT-4o,2019C,0.0,0.0,10.0
GPT-5,2019C,33.3333,3.3333,10.0
Gemini 2.5 Flash,2019C,25.0,2.5,10.0
Grok,2019C,16.6667,1.6667,10.0
O1,2019C,0.0,0.0,10.0
Claude Opus,2019D,12.5,1.875,15.0
Claude Sonnet 4.5,2019D,31.25,4.6875,15.0
GPT-4o,2019D,0.0,0.0,15.0
GPT-5,2019D,6.25,0.9375,15.0
Gemini 2.5 Flash,2019D,12.5,1.875,15.0
Gemini 2.5 Pro,2019D,12.5,1.875,15.0
Grok,2019D,6.25,0.9375,15.0
O1,2019D,18.75,2.8125,15.0
Claude Opus,2019E,0.0,0.0,10.0
Claude Sonnet 4.5,2019E,0.0,0.0,10.0
GPT-4o,2019E,0.0,0.0,10.0
GPT-5,2019E,16.6667,1.6667,10.0
Gemini 2.5 Flash,2019E,0.0,0.0,10.0
Gemini 2.5 Pro,2019E,16.6667,1.6667,10.0
Grok,2019E,0.0,0.0,10.0
O1,2019E,0.0,0.0,10.0
Claude Opus,2019F,12.5,1.25,10.0
Claude Sonnet 4.5,2019F,10.4167,1.0417,10.0
GPT-4o,2019F,0.0,0.0,10.0
GPT-5,2019F,20.8333,2.0833,10.0
Gemini 2.5 Flash,2019F,12.5,1.25,10.0
Grok,2019F,14.5833,1.4583,10.0
O1,2019F,12.5,1.25,10.0
Claude Opus,2019G,75.0,3.75,5.0
Claude Sonnet 4.5,2019G,79.1667,3.9583,5.0
GPT-4o,2019G,0.0,0.0,5.0
GPT-5,2019G,91.6667,4.5833,5.0
Gemini 2.5 Flash,2019G,58.3333,2.9167,5.0
Grok,2019G,29.1667,1.4583,5.0
O1,2019G,87.5,4.375,5.0
Claude Opus,2019H,16.6667,2.5,15.0
Claude Sonnet 4.5,2019H,11.1111,1.6667,15.0
GPT-4o,2019H,0.0,0.0,15.0
GPT-5,2019H,5.5556,0.8333,15.0
Gemini 2.5 Flash,2019H,5.5556,0.8333,15.0
Gemini 2.5 Pro,2019H,0.0,0.0,15.0
Grok,2019H,5.5556,0.8333,15.0
O1,2019H,5.5556,0.8333,15.0
Claude Opus,2019I,25.0,1.25,5.0
Claude Sonnet 4.5,2019I,31.25,1.5625,5.0
GPT-4o,2019I,0.0,0.0,5.0
GPT-5,2019I,31.25,1.5625,5.0
Gemini 2.5 Flash,2019I,18.75,0.9375,5.0
Gemini 2.5 Pro,2019I,56.25,2.8125,5.0
Grok,2019I,6.25,0.3125,5.0
O1,2019I,43.75,2.1875,5.0
Claude Opus,2019J,68.4211,6.8421,10.0
Claude Sonnet 4.5,2019J,81.5789,8.1579,10.0
GPT-5,2019J,71.0526,7.1053,10.0
Gemini 2.5 Flash,2019J,50.0,5.0,10.0
Gemini 2.5 Pro,2019J,57.8947,5.7895,10.0
Grok,2019J,55.2632,5.5263,10.0
O1,2019J,73.6842,7.3684,10.0
Claude Opus,2019K,4.1667,0.4167,10.0
Claude Sonnet 4.5,2019K,20.8333,2.0833,10.0
GPT-4o,2019K,0.0,0.0,10.0
Gemini 2.5 Flash,2019K,0.0,0.0,10.0
Gemini 2.5 Pro,2019K,0.0,0.0,10.0
Grok,2019K,0.0,0.0,10.0
O1,2019K,0.0,0.0,10.0
Claude Opus,2019L,16.6667,2.5,15.0
Claude Sonnet 4.5,2019L,33.3333,5.0,15.0
GPT-4o,2019L,0.0,0.0,15.0
GPT-5,2019L,66.6667,10.0,15.0
Gemini 2.5 Flash,2019L,50.0,7.5,15.0
Gemini 2.5 Pro,2019L,33.3333,5.0,15.0
Grok,2019L,33.3333,5.0,15.0
O1,2019L,0.0,0.0,15.0
Claude Opus,2019M,7.1429,0.7143,10.0
Claude Sonnet 4.5,2019M,0.0,0.0,10.0
GPT-4o,2019M,0.0,0.0,10.0
GPT-5,2019M,85.7143,8.5714,10.0
Gemini 2.5 Flash,2019M,57.1429,5.7143,10.0
Gemini 2.5 Pro,2019M,14.2857,1.4286,10.0
Grok,2019M,0.0,0.0,10.0
O1,2019M,28.5714,2.8571,10.0
Claude Opus,2019N,7.6923,1.1538,15.0
Claude Sonnet 4.5,2019N,7.6923,1.1538,15.0
GPT-4o,2019N,0.0,0.0,15.0
GPT-5,2019N,0.0,0.0,15.0
Gemini 2.5 Flash,2019N,3.8462,0.5769,15.0
Gemini 2.5 Pro,2019N,3.8462,0.5769,15.0
Grok,2019N,0.0,0.0,15.0
O1,2019N,7.6923,1.1538,15.0
Claude Opus,2019O,72.2222,3.6111,5.0
Claude Sonnet 4.5,2019O,44.4444,2.2222,5.0
GPT-4o,2019O,0.0,0.0,5.0
GPT-5,2019O,88.8889,4.4444,5.0
Gemini 2.5 Flash,2019O,94.4444,4.7222,5.0
Gemini 2.5 Pro,2019O,77.7778,3.8889,5.0
Grok,2019O,50.0,2.5,5.0
O1,2019O,0.0,0.0,5.0
Claude Opus,2019P,0.0,0.0,15.0
Claude Sonnet 4.5,2019P,0.0,0.0,15.0
GPT-4o,2019P,0.0,0.0,15.0
GPT-5,2019P,0.0,0.0,15.0
Gemini 2.5 Flash,2019P,0.0,0.0,15.0
Gemini 2.5 Pro,2019P,7.1429,1.0714,15.0
Grok,2019P,0.0,0.0,15.0
O1,2019P,0.0,0.0,15.0
Claude Opus,2019Q,39.2857,3.9286,10.0
Claude Sonnet 4.5,2019Q,10.7143,1.0714,10.0
GPT-5,2019Q,42.8571,4.2857,10.0
Gemini 2.5 Flash,2019Q,50.0,5.0,10.0
Gemini 2.5 Pro,2019Q,53.5714,5.3571,10.0
Grok,2019Q,25.0,2.5,10.0
