Problem,Name,Format,Theme,Point Value,Mean Score,Median Score,Notes,Language Family,,
2023_R2_N,A Saharan Sensation,,Writing System,10.00,44.09,17.39,,,,
2023_R2_O,Tone's Puzzle,,Stress/Tone,10.00,48.05,51.00,,,,
2023_R2_P,Counting in Roon,,Numbers,15.00,19.23,4.20,,,,
2023_R2_Q,What to Wear,Rosetta,"Syntax, Semantics",5.00,73.80,94.52,,,,
2022_R1_A,Lines in the Sand,,Writing System,10.00,37.45,33.33,,,,
2022_R1_B,Who Saw the Bear?,Rosetta,"Syntax, Semantics",10.00,84.56,100.00,,,,
2022_R1_C,To Make a Long Story Short,Computational,,15.00,58.34,76.19,,,,
2022_R1_D,Real Numbers,,Numbers,10.00,22.22,6.25,,,,
2022_R1_E,Sleeping in the Shade,"Matching, Rosetta","Syntax, Semantics",10.00,32.07,17.98,,,,
2022_R1_F,Splash to Save,Rosetta,"Syntax, Semantics",10.00,45.03,51.26,,,,
2022_R1_G,Out of Order,Computational,,5.00,62.60,71.42,,,,
2022_R1_H,From Soup to Nuts,Rosetta,"Syntax, Semantics",15.00,6.73,0.00,,,,
2022_R1_I,A Cornish Conundrum,,"Morphology, Semantics",15.00,26.06,29.41,,,,
2022_R1_J,Sounds Fishy,,Phonology,5.00,84.22,86.36,,,,
2022_R2_K,A Tough Word to Swallow,Matching,Combination,15.00,32.26,19.35,,,,
2022_R2_L,Stopping for a Spell,Computational,,5.00,95.64,100.00,,,,
2022_R2_M,A Splitting Disagreement,Computational,,10.00,52.10,54.32,,,,
2022_R2_N,Pseudorandom Numbers,,Morphology,15.00,28.53,30.50,,,,
2022_R2_O,Seeing the Future,Rosetta,Semantics,10.00,45.77,46.43,,,,
2022_R2_P,Yumology,Computational,,15.00,22.95,18.75,,,,
2022_R2_Q,Relatively Speaking,Rosetta,"Syntax, Semantics",15.00,21.79,14.71,,,,
2022_R2_R,I Stop Being Afraid of This Problem,,Phonology,10.00,13.71,10.00,,,,
2021_R1_A,The Tortoise and the Rabbit,Rosetta,"Syntax, Semantics",10.0,,,,,,
2021_R1_B,Junk Mail: Letters We Don't Need,Computational,,10.0,,,,,,
2021_R1_C,Versatile Verb,"Matching, Rosetta","Syntax, Semantics",10.0,,,,,,
2021_R1_D,Made You Look!,Computational,,10.0,,,Images,,,
2021_R1_E,The Script of Your Dreams,,Writing System,15.0,,,,,,
2021_R1_F,The Wiles of Reptiles,Rosetta,"Syntax ,Semantics",15.0,,,,,,
2021_R1_G,The Skates of Wrath,"Matching, Rosetta",Combination,15.0,,,,,,
2021_R1_H,Sequitur,Computational,,5.0,,,,,,
2021_R1_I,Non Sequitur,Computational,,10.0,,,,,,
2021_R2_J,A Vintage Sound System,,Phonology,10.0,6597%,7436%,,,,
2021_R2_K,Putting a Place to a Name,Matching,Writing System,5.0,69.48,85.72,,,,
2021_R2_L,Is This Problem Intelligible?,"Matching, Rosetta","Morphology, Syntax",10.0,50.84,56.42,,,,
2021_R2_M,The Speech Has No End,Rosetta,"Morphology, Semantics, Syntax",15.0,29.8,32.85,Reduplication,,,
2021_R2_N,Do I Care about Duikers?,,"Morphology, Phonology",10.0,16.16,16.18,,,,
2021_R2_O,Cameroonian Compounds,Matching,Combination,10.0,36.46,27.27,,,,
2021_R2_P,Family Ties,,Kinship,10.0,36.55,18,,,,
2021_R2_Q,A Stress Test,Computational,Stress/Tone,10.0,63.67,77.78,,,,
2021_R2_R,GloVe Compartment,Computational,Semantics,5.0,19.28,13.88,,,,
2021_R2_S,Peace Only,Rosetta,"Morphology, Syntax",15.0,16.47,0.83,,,,
2020_R1_A,Let That Mongo!,,"Morphology, Phonology",5.0,,,,,,
2020_R1_B,A Cat in a Hat,"Matching, Rosetta","Combination, Syntax",15.0,,,,,,
2020_R1_C,Set in Stone,Matching,Writing System,20.0,,,,,,
2020_R1_D,Pay Attention,Computational,Semantics,10.0,,,,,,
2020_R1_E,Breton Numbers,,Numbers,15.0,,,,,,
2020_R1_F,Coming into Focus,Rosetta,"Morphology, Syntax, Semantics",15.0,,,,,,
2020_R1_G,Password Confusion,Computational,Semantics,10.0,,,,,,
2020_R1_H,The Idalion Tablet,,Writing System,10.0,,,,,,
2020_R2_I,"Kãa, Kai, and Khai","Matching, Rosetta",Combination,10.00,76.49,85.30,,,,
2020_R2_J,You Made Me See,Rosetta,"Morphology, Syntax",15.00,31.81,32.33,,,,
2020_R2_K,The Pimpled Toad,,Writing System,10.00,37.50,10.00,,,,
2020_R2_L,Shiva Sutras,,Phonology,5.00,54.68,55.60,,,,
2020_R2_M,Adjupectiheaval!,Computational,Semantics,10.00,22.92,4.30,,,,
2020_R2_N,You Can’t Handle the Truth,Computational,Semantics,5.00,52.72,61.20,,,,
2020_R2_O,We’re Counting on Yoruba,,Numbers,10.00,54.62,63.00,,,,
2020_R2_P,Doubling Up on Nakanai,,Phonology,10.00,28.44,26.47,Reduplication,,,
2020_R2_Q,Cut to the Chase,Computational,Syntax,10.00,19.09,4.50,,,,
2020_R2_R,The Obviative Solution,,Morphology,10.00,27.72,22.70,,,,
2019_R1_A,Malteaser,,Morphology,10.00,48.16,50.00,,,,
2019_R1_B,"You Speak Ndebele, Don't You?",Rosetta,"Morphology, Syntax",15.00,49.49,52.27,,,,
2019_R1_C,Here is One Hand,Matching,Numbers,10.00,33.77,16.67,,,,
2019_R1_D,Predicate Etiquette,Computational,Semantics,15.00,56.23,70.59,,,,
2019_R1_E,Hate It or Lopit,Rosetta,"Morphology, Syntax",10.00,10.90,0.00,,,,
2019_R1_F,Harmongolia,,Morphology,10.00,42.30,41.37,,,,
2019_R1_G,Break it Down!,"Computational, Matching",Semantics,5.00,39.78,84.84,,,,
2019_R1_H,Can you know/Hanunó'o,,Writing System,15.00,19.22,0.00,,,,
2019_R1_I,The Afrihili Word Machine,,"Morphology, Semantics",5.00,65.22,72.22,,,,
2019_R1_J,Polish These Nouns!,,Phonology,10.00,37.12,35.71,,,,
2019_R2_K,Two Róngs Don't Make a Right,Matching,Writing System,10.00,42.51,14.71,,,,
2019_R2_L,We Were Born to Solve This Problem,,Morphology,15.00,36.78,32.25,,,,
2019_R2_M,Colorless Green Concepts Scripting Furiously,Computational,,10.00,49.42,50.00,,,,
2019_R2_N,Fun With Witsuwit'en,Matching,"Combination, Syntax",15.00,5.90,3.45,,,,
2019_R2_O,Infer a Surprise,Computational,Semantics,5.00,28.15,50.00,,,,
2019_R2_P,Do You Hear the Master's Moon,Rosetta,"Morphology, Syntax",15.00,5.61,0.00,,,,
2019_R2_Q,A Tale of Kieu-plets,,Stress/Tone,10.00,31.77,17.14,,,,
2019_R2_R,Disambiguate This!,Computational,Semantics,5.00,56.08,65.18,,,,
2018_R1_A,At Ease in Gilbertese,Rosetta,"Morphology, Syntax",10.0,,,,,,
2018_R1_B,The Pame Game,,Numbers,20.0,,,,,,
2018_R1_C,All Roads Lead to Tirana,Matching,"Location, Syntax",20.0,,,,,,
2018_R1_D,Intergalactic Grammars,Computational,Semantics,5.0,,,,,,
2018_R1_E,Parties in Palauan,,"Morphology, Semantics",5.0,,,,,,
2018_R1_F,A Match Made in Vietnam,Matching,Combination,15.0,,,,,,
2018_R1_G,By the Same Token,Computational,Morphology,10.0,,,,,,
2018_R1_H,"N'ko, M'kay",,Writing System,15.0,,,,,,
2018_R2_I,A Menya Puzzle,"Matching, Rosetta","Morphology, Syntax",15.00,31.15,24.07,,,,
2018_R2_J,It's True: The Truth About Chalcatongo Mixtec,"Matching, Rosetta","Morphology, Syntax",10.00,67.63,70.00,,,,
2018_R2_K,Sri Lankan Names,,Writing System,10.00,46.13,48.60,,,,
2018_R2_L,Peeled Potato Act with Annie,"Computational, Matching",Semantics,5.00,46.42,50.00,,,,
2018_R2_M,Quests and Requests in Nivkh,Matching,Morphology,15.00,35.72,10.43,,,,
2018_R2_N,You've Got This: Fijian Ownership,Rosetta,"Morphology, Semantics",10.00,51.88,60.91,,,,
2018_R2_O,To Know or Not to Know Literary Tamil,,Morphology,5.00,57.58,74.24,,,,
2018_R2_P,I Know What I Saw,"Matching, Rosetta",Syntax,5.00,58.18,68.20,,,,
2018_R2_Q,Better Left Unsaid,,Phonology,10.00,65.26,73.08,,,,
2018_R2_R,A Make-Shift Code,Computational,Syntax,15.00,47.82,57.98,,,,
2017_R1_A,A Little Tshiluba,Rosetta,"Morphology, Syntax",5.00,69.34,78.12,,,,
2017_R1_B,Pho Bar,Matching,Combination,10.00,60.13,70.00,,,,
2017_R1_C,LOLWUT,Computational,,10.00,78.05,89.33,,,,
2017_R1_D,Let's Roll!,,Numbers,10.00,71.95,81.81,,,,
2017_R1_E,On the Right Track,,Writing System,20.00,35.74,28.00,,,,
2017_R1_F,Transition(al) Numbers,Computational,Morphology,10.00,59.33,70.00,,,,
2017_R1_G,Magik Yup’ik,,Numbers,15.00,35.31,16.00,,,,
2017_R1_H,Nothing but (Net)works,Computational,,15.00,55.72,100.00,,,,
2017_R2_I,Basque Tasque,Rosetta,"Morphology, Syntax",10,,,,,,
2017_R2_J,The Norwegian Problem / A Norwegian Problem / Norwegian Problems / The Norwegian Problems?,"Matching, Rosetta","Morphology, Syntax",5,,,,,,
2017_R2_K,Sentences that go on and on and on and on,Computational,Syntax,10,,,,,,
2017_R2_L,"The Goat, the Mother, and the Wardrobe",Rosetta,"Morphology, Syntax",15,,,,,,
2017_R2_M,It will be you who solves this problem!,Rosetta,"Morphology, Syntax, Semantics",5,,,,,,
2017_R2_N,To Be Determined,"Matching, Rosetta","Morphology, Syntax",10,,,,,,
2017_R2_O,Common Sense,,Semantics,10,,,,,,
2017_R2_P,Do you see what I see?,Rosetta,Morphology,10,,,,,,
2017_R2_Q,Pluses and Minuses,,Numbers,15,,,,,,
2017_R2_R,Text-o-matic,Computational,Morphology,10,,,,,,
2016_R1_A,Tangled up in Nots,Rosetta,"Syntax, Semantics",5,,,,,,
2016_R1_B,DAWG Breeds,Computational,,10,,,,,,
2016_R1_C,The Curious Case of Estonian,,Morphology,5,,,,,,
2016_R1_D,That's an Order,,Semantics,15,,,,,,
2016_R1_E,"Be There, or be Squared",,Numbers,10,,,,,,
2016_R1_F,Take one Tablet and Call me in the Morning,Matching,"Morphology, Syntax",15,,,,,,
2016_R1_G,Signs from Above,Matching,Semantics,20,,,,,,
2016_R1_H,Fan Fiction,Computational,Syntax,10,,,,,,
2016_R1_I,Deriving Enjoyment,Rosetta,"Morphology, Semantics",10,,,,,,
2016_R1_J,Get Edumacated,,Stress,15,,,,,,
2016_R2_K,"Kings, Queens, and Counts",Computational,Semantics,15,,,,,,
2016_R2_L,The Short Hand of the Law,Computational,,10,,,,,,
2016_R2_M,Sound Judgments,,Phonology,5,,,,,,
2016_R2_N,What Happened at the Chess Tournament?,Matching,"Syntax, Semantics",5,,,,,,
2016_R2_O,Don't Sell the House,Rosetta,"Syntax, Semantics",10,,,,,,
2016_R2_P,A matter of Horn clauses,Computational,Syntax,10,,,,,,
2016_R2_Q,A cup of Javanese,,Writing System,15,,,,,,
2016_R2_R,Changing the Subject,Rosetta,Morphology,5,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
