Year,Problem,Task,Type,Notes
2017,K,K2,Recognition,Determine how many steps algorithm takes on example sentence
2017,K,K3,Recognition,Determine whether algorithm finds correct pattern or what it returns
2017,K,K4,Recognition,Give example of sentence pattern the algorithm can never identify
2017,L,L1,Recognition,Translate Abkhaz sentences into English
2017,L,L2,Production,Translate English sentences into Abkhaz
2017,L,L3,Recognition,Explain grammatical patterns in English
2017,M,M1,Recognition,Translate Maori sentences into English
2017,M,M2,Production,Translate English sentences into Maori
2017,M,M3,Recognition,Explain grammatical patterns in English
2017,N,N1,Recognition,Match Bulgarian sentences to English translations
2017,N,N2,Recognition,Translate Bulgarian sentences into English
2017,N,N3,Production,Translate English sentences into Bulgarian
2017,N,N4,Recognition,Explain grammatical patterns in English
2017,O,O1,Recognition,Identify antecedent of each underlined pronoun
2017,O,O2,Recognition,List party arrivals in order
2017,P,P1,Recognition,Translate Proto-Algonquian sentence into English
2017,P,P2,Production,Translate English sentences into Proto-Algonquian
2017,P,P3,Recognition,Give English translations of Proto-Algonquian morphemes
2017,P,P4,Recognition,Explain the morphological system in English
2017,Q,Q1,Recognition,Rewrite Khakas arithmetic equations using numerals
2017,Q,Q2,Production,Write numbers in the Khakas language
2017,Q,Q3,Recognition,Give English meaning of the Khakas word 'püdin'
2017,Q,Q4,Recognition,Explain the number system in English
2017,R,R1,Production,Write rewrite rules in Text-o-matic notation for French ordinal conversion
2017,R,R2,Recognition,Describe in English how to fix rules for numbers above 20
2017,R,R3,Production,Write new Text-o-matic rules that work bidirectionally
2020,A,A1,Recognition,Explain phonological rules and prefixes in English
2020,A,A2,Production,Generate Lomongo verb forms in target language
2020,B,B1,Recognition,Match Chintang sentences to English translations
2020,B,B2,Production,Translate English sentences into Chintang
2020,B,B3,Recognition,Translate Chintang sentences into English
2020,C,C1,Recognition,Match Old Persian cuneiform signs to transcriptions/translations
2020,D,D1,Recognition,Match corpus sentences to labeled sentences (identifying/matching)
2020,D,D2,Recognition,Fill in missing attention-head connection data (word indices)
2020,E,E1,Production,Fill in gaps in Breton arithmetic equations with Breton number words
2020,E,E2,Recognition,Select which of three Breton words means "eyes"
2020,E,E3,Recognition,Identify which Arabic numeral the irregular Breton word represents
2020,F,F1,Production,Translate English sentences into Paiwan
2020,F,F2,Recognition,Translate Paiwan responses into English and identify the question
2020,G,G1,Recognition,Fill in English puzzle table with guesses and correct passwords
2020,G,G2,Recognition,Fill in table for negation-encoded messages
2020,H,H1,Production,Write transliterated words in Cypriot script
2020,H,H2,Production,Write Cypriot Greek words in Cypriot script
2020,I,I1,Recognition,Match Thai phrases to English translations
2020,I,I2,Recognition,Translate Thai words/morphemes into English
2020,I,I3,Production,Translate "beautiful line" into Thai
2020,J,J1,Recognition,Translate Iñapari verb forms into English
2020,J,J2,Production,Translate English phrases into Iñapari
2020,J,J3,Recognition,Explain the morphological solution in English
2020,K,K1,Recognition,Restore missing Miao Pinyin words and translate into English
2020,K,K2,Production,Write Miao Pinyin sentence in Pollard script
2020,K,K3,Recognition,Describe observations on Pollard script and Miao grammar in English
2020,L,L1,Recognition,List Sanskrit sounds referred to by three pratyāhāras
2020,L,L2,Recognition,Give pratyāhāra labels for specified sound classes
2020,L,L3,Recognition,Explain in English how to form a pratyāhāra
2020,L,L4,Recognition,Express meaning of Sanskrit rule 6.1.77 in English
2020,L,L5,Recognition,Explain meaning of grammatical endings in English
2020,L,L6,Production,Apply Sanskrit rule 8.4.53 to produce written forms from underlying forms
2020,M,M1,Recognition,Identify which English sentence is spam
2020,M,M2,Recognition,Classify Indonesian reviews as real or spam
2020,M,M3,Recognition,Classify Indonesian reviews as real or spam using dictionary
2020,N,N1,Recognition,State in English the new instruction Alfred added to TruthBot
2020,N,N2,Recognition,Determine how many new statements TruthBot utters per addition
2020,N,N3,Recognition,Give new statements TruthBot will utter for five new inputs
2020,N,N4,Recognition,Assess whether derived statements would seem true/false/weird
2020,N,N5,Recognition,Propose how to modify TruthBot's instructions to reduce errors
2020,O,O1,Recognition,Convert Yoruba number words into Arabic numerals
2020,O,O2,Production,Write Arabic numerals as Yoruba number words
2020,P,P1,Production,Provide reduplicated forms of Nakanai words
2020,P,P2,Recognition,Explain the reduplication solution in English
2020,Q,Q1,Recognition,Match Maasai words/word-parts to structural slots in diagrams
2020,Q,Q2,Recognition,Identify which Maasai sentences are invalid
2020,Q,Q3,Recognition,Translate valid Maasai sentences into English
2020,R,R1,Production,Fill in missing Arapaho noun forms in target language
2020,R,R2,Recognition,Explain the solution in English
2023,A,A1,Recognition,Translate Old English sentences into English
2023,A,A2,Production,Fill in missing Old English words given English meaning
2023,A,A3,Recognition,Match Old English sentences to contexts (who said "We saw you" to whom)
2023,A,A4,Production,Write correct Old English pronoun form given context
2023,B,B1,Recognition,Assign stress labels to syllables of Ho-Chunk words
2023,C,C1,Recognition,Identify which vloxes fit each description (match/select)
2023,C,C2,Recognition,Fill in blanks with words from provided list to describe youngest vlox
2023,D,D1,Recognition,Translate Permyak words into English
2023,D,D2,Production,Translate English phrases into Permyak
2023,E,E1,Recognition,Fill in missing counts and probabilities in transitional probability table
2023,E,E2,Recognition,Identify most likely next letter after k in Hawaiian
2023,E,E3,Recognition,Identify which sequences are Bengalese finch song
2023,E,E4,Recognition,Decode a phrase given only transitional probability values
2023,F,F1,Recognition,Match Nizaa words/phrases to English translations
2023,F,F2,Production,Write Nizaa translations for English words/phrases
2023,G,G1,Production,Convert Nahuatl phrases from 16th-century writing system into IPA
2023,G,G2,Production,Convert Nahuatl words from IPA into 20th-century writing system
2023,G,G3,Recognition,Select which two writing systems have a bijection between them
2023,H,H1,Recognition,Match groups of people to Lardil pronouns from provided list
2023,H,H2,Production,Write the correct Lardil pronoun for each described group
2023,H,H3,Recognition,Identify all groups from a given list that would be designated as birri
2023,H,H4,Recognition,Choose between two given Lardil pronouns for described groups
2023,H,H5,Production,Write the Lardil word that would refer to "you and I" in given context
2023,I,I1,Recognition,Fill in blank Umbrian words by inferring from Latin/English correspondences
2023,J,J1,Recognition,Fill in blank cells in Marshallese table applying phonological rules
2023,J,J2,Recognition,Explain how Marshallese pronunciation is determined from spelling
2023,J,J3,Recognition,Explain why linguists include a vowel never directly pronounced
2023,K,K1,Production,Write example guesses (word + sentence) that a player might have made
2023,K,K2,Recognition,List the words where a player's ships are located
2023,K,K3,Recognition,Fill in blank Hit/Miss responses and guesses in game record tables
2023,L,L1,Recognition,Decode a coded message given the first line's translation
2023,L,L2,Recognition,Fill in missing parts of coded messages given English translations
2023,L,L3,Recognition,Fill in missing cells in a table including Wari' sentence translations
2023,M,M1,Recognition,Translate Chukchi sentences into English
2023,M,M2,Production,Translate English sentences into Chukchi
2023,M,M3,Recognition,Describe structure of Chukchi words in English
2023,N,N1,Recognition,Match Meroitic script words to Roman-alphabet equivalents
2023,N,N2,Recognition,Transliterate Meroitic script words into Roman alphabet
2023,O,O1,Recognition,Match Abawiri phrases to English translations
2023,O,O2,Recognition,Translate Abawiri phrases into English
2023,O,O3,Production,Translate English phrases into Abawiri
2023,O,O4,Recognition,Explain observations about Abawiri in English
2023,P,P1,Production,Fill in missing Roon number terms for given numeric values
2023,P,P2,Recognition,Explain the Roon number system in English
2023,Q,Q1,Recognition,Translate Muklom sentences into English
2023,Q,Q2,Production,Write Muklom sentences given English translations
2019,A,A1,Recognition,Identify Maltese words that don't follow normal definite article rules
2019,A,A2,Production,Write correct Maltese definite article prefix for given nouns
2019,B,B1,Recognition,Translate Ndebele sentences into English
2019,B,B2,Production,Translate English sentences into Ndebele
2019,C,C1,Recognition,Match Catio number words to English translations from provided list
2019,D,D1,Recognition,Assign tree-position labels to nonce predicates and subjects
2019,D,D2,Recognition,Mark nonce English sentences as sensible or nonsensical
2019,E,E1,Production,Translate English sentences into Lopit
2019,E,E2,Production,Translate English sentences into Lopit
2019,E,E3,Production,Translate English sentences into Lopit
2019,F,F1,Production,Fill in missing Mongolian plural/directive/pronunciation forms in paradigm table
2019,F,F2,Recognition,Identify which Mongolian word was originally a loanword
2019,F,F3,Production,Give plural/directive/pronunciation for new Mongolian words
2019,G,G1,Recognition,Match English words to misparse definitions they would be assigned
2019,G,G2,Production,Write English words that a model would assign given misparsed definitions
2019,H,H1,Recognition,Match Hanuno'o script words to Latin-script place names
2019,H,H2,Recognition,Transliterate Hanuno'o script words into Latin script
2019,H,H3,Production,Write words in Hanuno'o script
2019,I,I1,Production,Fill in Afrihili-English table generating Afrihili words for English meanings
2019,I,I2,Recognition,Choose most likely English translation for Afrihili words from given options
2019,I,I3,Recognition,Describe Afrihili word structure in English
2019,J,J1,Recognition,Explain why a Polish plural takes a specific form
2019,J,J2,Recognition,Identify and explain two plural forms and when each is used
2019,J,J3,Production,Give plural forms of Polish phrases
2019,J,J4,Recognition,Explain how Polish plurals are formed in English
2019,K,K1,Recognition,Match Lepcha script words to Latin-script transcriptions
2019,K,K2,Production,Write Rong words in Lepcha script
2019,K,K3,Recognition,Transcribe Lepcha script words into Latin script
2019,L,L1,Recognition,Translate Cupeño word into English
2019,L,L2,Production,Translate English sentence into Cupeño
2019,L,L3,Recognition,Explain how Cupeño verbs are formed in English
2019,M,M1,Recognition,Translate Begriffsschrift formula into modern logical notation
2019,M,M2,Recognition,Match English sentences to positions in Begriffsschrift formula
2019,M,M3,Recognition,Explain Begriffsschrift notation in English
2019,N,N1,Recognition,Match Witsuwit'en words to English translations
2019,N,N2,Recognition,Translate Witsuwit'en words into English
2019,O,O1,Recognition,Fill in blanks describing generalization rules an NLI model learned
2019,O,O2,Recognition,Rank rules by priority and identify test examples revealing ranking
2019,P,P1,Recognition,Translate Mayangna sentences into English
2019,P,P2,Production,Translate English sentences into Mayangna
2019,P,P3,Recognition,Explain solution to Mayangna problem in English
2019,Q,Q1,Recognition,Classify Vietnamese tones into sharp vs flat groups
2019,Q,Q2,Recognition,Determine which couplets are authentic and identify corrupted words
2019,Q,Q3,Recognition,Select correct word for each choice pair in damaged couplet
2019,Q,Q4,Recognition,Explain structural rules of luc bat meter in English
2019,R,R1,Recognition,Indicate whether "her" is a determiner or pronoun in each sentence
2019,R,R2,Production,Write constraint-grammar rules in formal notation to disambiguate "her"
2019,R,R3,Recognition,Identify incorrectly disambiguated sentence and explain why rule is hard to write
2019,R,R4,Production,Write constraint-grammar rules to disambiguate Sranan Tongo sentences
2021,A,A1,Production,Translate English sentences into Malagasy
2021,A,A2,Production,Translate English sentences into Malagasy (with recognition sub-parts)
2021,B,B1,Production,Write English words in Duw Ulbubud writing system
2021,B,B2,Recognition,Identify Duw Ulbubud spelling of Moby Dick and its misinterpretation
2021,B,B3,Recognition,Identify fruit and vegetable from ambiguous Duw Ulbubud message
2021,B,B4,Recognition,Translate a Duw Ulbubud name back into English
2021,C,C1,Recognition,Match Waama sentences to scrambled English translations
2021,C,C2,Recognition,Identify which Waama verb fits all four given sentences
2021,C,C3,Production,Translate English sentences into Waama
2021,C,C4,Recognition,Translate Waama sentences into English
2021,D,D1,Recognition,Fill in missing eye-trajectory slots in table
2021,D,D2,Recognition,Determine eye trajectory for ambiguous image
2021,D,D3,Recognition,Circle dialect option based on trajectory data
2021,D,D4,Recognition,Identify what missing image depicts
2021,D,D5,Production,Write new English sentences that encode a secret message via eye trajectories
2021,D,D6,Recognition,Identify the secret message encoded in D5
2021,E,E1,Recognition,Match Mandombe script words to Romanized equivalents
2021,E,E2,Recognition,Choose which option represents a numeral in Mandombe
2021,F,F1,Recognition,Translate Dime sentence into English
2021,F,F2,Recognition,Choose correction option for each sentence or confirm it is correct
2021,F,F3,Recognition,Translate corrected Dime sentences into English
2021,G,G1,Recognition,Match Sauk words to English translations
2021,G,G2,Recognition,Translate Sauk words into English
2021,G,G3,Production,Translate English words into Sauk
2021,H,H1,Recognition,Fill in missing slots in Sequitur algorithm trace table
2021,H,H2,Recognition,Fill in missing slots in BPE algorithm trace table
2021,H,H3,Recognition,Determine if Sequitur vs BPE outputs are Same or Different
2021,I,I1,Recognition,Fill in blanks in strategy descriptions from given options
2021,I,I2,Recognition,Give results of each strategy on new input words
2021,I,I3,Recognition,Identify the English word and shared definition all strategies produce
2021,J,J1,Recognition,Fill in missing Old/Middle Chinese pronunciations from provided list
2021,J,J2,Recognition,Match Old Chinese words to Middle Chinese equivalents
2021,J,J3,Production,Give Middle Chinese pronunciations for Old Chinese words
2021,J,J4,Production,Give Old Chinese pronunciations for Middle Chinese words
2021,J,J5,Recognition,Explain sound changes between Old and Middle Chinese
2021,K,K1,Recognition,Match Tifinagh place names to English equivalents
2021,K,K2,Recognition,Identify English name for a Tamazight region name
2021,L,L1,Recognition,Identify each sentence as Hawu or Dhao and match to English translation
2021,L,L2,Recognition,Translate Hawu/Dhao sentences into English
2021,L,L3,Production,Translate English sentences into both Hawu and Dhao
2021,L,L4,Production,Fill in the missing Dhao word form
2021,L,L5,Recognition,Explain whether Hawu and Dhao are mutually intelligible
2021,M,M1,Recognition,Translate Tawala sentences into English
2021,M,M2,Production,Translate English sentences into Tawala
2021,M,M3,Recognition,Describe how to translate "child" into Tawala in English
2021,M,M4,Recognition,Describe when reduplication is used in Tawala
2021,N,N1,Recognition,Fill in Dagaare singular/plural/interrogative noun forms in table
2021,N,N2,Recognition,Describe observations about Dagaare nouns in English
2021,O,O1,Recognition,Match Vengo words to English translations
2021,O,O2,Recognition,Choose most likely meaning of Vengo compound words
2021,O,O3,Recognition,Identify English equivalent of a Vengo word
2021,P,P1,Recognition,Identify names corresponding to positions in Yanomamo family tree
2021,P,P2,Recognition,Describe meaning of Yanomamo kinship terms in English
2021,Q,Q1,Recognition,Fill in blanks in English stress algorithm description
2021,Q,Q2,Recognition,Write English description of further properties for stress algorithm
2021,Q,Q3,Recognition,Select correct parameter values for languages in table
2021,Q,Q4,Recognition,Describe how stress is assigned in Selkup
2021,R,R1,Recognition,Match word vectors to English words
2021,R,R2,Recognition,Match vectors to English words (second set)
2021,R,R3,Recognition,Identify vectors and definitions for two meanings of "third"
2021,R,R4,Recognition,Identify which vector goes with doctor vs nurse
2021,S,S1,Recognition,Translate Jamsay sentences into English
2021,S,S2,Production,Translate English sentences into Jamsay
2021,S,S3,Recognition,Describe observations about Jamsay grammar in English
2018,A,A1,Recognition,Rearrange scrambled Gilbertese words and translate into English
2018,A,A2,Production,Translate English sentences into Gilbertese
2018,B,B1,Recognition,Convert Northern Pame number words to Arabic numerals
2018,B,B2,Production,Write Arabic numerals as words in Central Pame number system
2018,C,C1,Recognition,Match Albanian place names to English translations
2018,C,C2,Recognition,Follow Albanian directions and identify a place in English
2018,C,C3,Recognition,Determine house numbers from Albanian directions
2018,D,D1,Recognition,Compose an English sentence satisfying length constraints (SCFG vocabulary)
2018,D,D2,Production,Translate English sentence into Turkish
2018,D,D3,Recognition,Translate Malagasy sentences into English
2018,D,D4,Production,Translate English sentences into Klingon using SCFG
2018,E,E1,Recognition,Translate Palauan noun phrases into English
2018,E,E2,Production,Translate English noun phrases into Palauan
2018,E,E3,Production,Write Palauan classifier words for specific contexts
2018,F,F1,Recognition,Match Vietnamese words to English translations
2018,F,F2,Recognition,Give English translation of a Vietnamese word
2018,G,G1,Recognition,Supply English words satisfying given Token/Type constraints
2018,G,G2,Production,Write Shilha translations of English words
2018,H,H1,Recognition,Match place names in transcription to N'ko script equivalents
2018,H,H2,Production,Write place names in N'ko script from romanized transcriptions
2018,H,H3,Recognition,Transliterate N'ko script names into English
2018,I,I1,Recognition,Match Menya words/phrases to English translations
2018,I,I2,Production,Translate English phrases into Menya
2018,I,I3,Recognition,Translate Menya phrases into English
2018,I,I4,Recognition,Explain Menya word/phrase structure in English
2018,J,J1,Recognition,Match Chalcatongo Mixtec sentences to English translations
2018,J,J2,Production,Translate English phrases/sentences into Chalcatongo Mixtec
2018,J,J3,Recognition,Explain Chalcatongo Mixtec structure in English
2018,K,K1,Recognition,Identify start/end positions and type of named entities in Sinhala text
2018,L,L1,Recognition,Label prepositional phrase attachment for English instances
2018,L,L2,Recognition,Apply algorithm rules to label instances in table
2018,L,L3,Recognition,State baseline rule and fill in baseline labels
2018,L,L4,Recognition,Determine optimal ordering of rules for highest accuracy
2018,L,L5,Recognition,Explain choice of baseline and rule ordering in English
2018,M,M1,Recognition,Match Nivkh sentences to English translations
2018,M,M2,Recognition,Translate Nivkh sentences into English
2018,M,M3,Production,Translate English sentences into Nivkh
2018,M,M4,Recognition,Explain Nivkh word and sentence structure in English
2018,N,N1,Production,Translate English possessive noun phrases into Fijian
2018,N,N2,Production,List all Fijian forms for a possessive phrase and explain meanings
2018,O,O1,Production,Translate English verb forms into Tamil
2018,O,O2,Recognition,Translate Tamil verb forms into English
2018,O,O3,Recognition,Explain Tamil word structure in English
2018,P,P1,Recognition,Match Beja sentences to English translations
2018,P,P2,Production,Translate English sentences into Beja
2018,P,P3,Recognition,Translate Beja sentences into English
2018,P,P4,Production,Write corrected Beja version of erroneous sentence
2018,P,P5,Recognition,Explain Beja word and phrase structure in English
2018,Q,Q1,Production,Supply missing Indonesian active verb forms by pattern
2018,Q,Q2,Production,Supply missing Mandar active verb forms by pattern
2018,Q,Q3,Production,Supply missing Quechua possessive/locative forms by pattern
2018,Q,Q4,Production,Supply missing Zoque possessive forms by pattern
2018,Q,Q5,Production,Supply missing Lunyole plural forms by pattern
2018,Q,Q6,Recognition,Fill in blanks in English rule statement and identify rule-violating word
2018,Q,Q7,Recognition,Explain generalization across five languages in English
2018,R,R1,Recognition,Decode parser output to determine what a message said
2018,R,R2,Recognition,Determine travel locations from decoded parser output
2018,R,R3,Recognition,Identify which city can be encoded and explain why others cannot
2018,R,R4,Production,Write an English sentence that encodes a city name via formal parser
2022,A,A1,Recognition,Identify which Avoiuli script words correspond to given Bislama words
2022,A,A2,Recognition,Identify which Avoiuli script words correspond to given English meanings
2022,A,A3,Recognition,Identify the geographical area mentioned on the sign
2022,B,B1,Production,Translate Turkish→English and English→Turkish (mixed; includes production)
2022,B,B2,Production,Translate Turkish→English and English→Turkish with question forms (includes production)
2022,C,C1,Recognition,Fill in blanks in feature definitions and identify sentence correspondences
2022,C,C2,Recognition,Fill in feature-score tables for new articles
2022,C,C3,Recognition,Identify sentences making up a summary
2022,C,C4,Recognition,Identify sentences making up a summary
2022,C,C5,Recognition,Identify words/phrases to fix in abstractive summary
2022,C,C6,Recognition,Identify word with incorrect meaning in extractive summary
2022,D,D1,Production,Write missing Kaktovik Iñupiaq numerals in foreign script
2022,D,D2,Production,Give Iñupiaq words for given numbers
2022,D,D3,Recognition,Write Arabic numerals for Iñupiaq number words
2022,D,D4,Recognition,Write Arabic numerals for values in Kaktovik representations
2022,E,E1,Recognition,Match English sentences/phrases to Ik translations
2022,E,E2,Recognition,Translate Ik sentences word-for-word into English
2022,E,E3,Production,Translate English words/sentences into Ik
2022,E,E4,Recognition,Translate Ik sentences into English
2022,E,E5,Recognition,Select which phrase is grammatical
2022,E,E6,Recognition,State a rule describing when Ik speakers devoice vowels
2022,E,E7,Recognition,Give sentence numbers supporting claim about Ik adjectives
2022,F,F1,Recognition,Match Ende sentences to English translations
2022,F,F2,Recognition,Provide English translations for Ende words
2022,F,F3,Production,Provide Ende translations for English words
2022,F,F4,Recognition,Circle Ende words that would appear in a translation
2022,G,G1,Recognition,Determine which number was misread from a letter representation
2022,G,G2,Recognition,Decode positional letter representation to recover English message
2022,G,G3,Recognition,Decode alternative positional letter representation
2022,G,G4,Recognition,Decode tree-path letter representation
2022,G,G5,Recognition,Decode Wickelletter representation
2022,H,H1,Recognition,Identify which food does not follow normal Tseltal rules
2022,H,H2,Recognition,Translate Tseltal sentence into English
2022,H,H3,Production,Translate English sentences into Tseltal
2022,H,H4,Recognition,Identify correct Tseltal word for a specific food
2022,H,H5,Recognition,Identify correct Tseltal word for another specific food
2022,H,H6,Recognition,Determine what English plant a Tseltal name translates to
2022,I,I1,Production,Fill in gaps in Cornish noun table with correct word forms
2022,I,I2,Production,Fill in blanks requiring Cornish word production and English meanings
2022,I,I3,Recognition,Identify which animal's name comes from a Welsh phrase
2022,J,J1,Production,Predict how a speaker would pronounce English words using their idiosyncratic system
2022,J,J2,Recognition,Interpret a speaker's utterances to determine intended English words
2022,K,K1,Recognition,Match Wik-Mungkan words to English translations
2022,K,K2,Production,Translate English words into Wik-Mungkan
2022,K,K3,Recognition,Translate Wik-Mungkan words and phrases into English
2022,L,L1,Recognition,Determine FST phoneme-string output for English words
2022,L,L2,Recognition,Identify which word forces FST to backtrack
2022,L,L3,Recognition,Determine FST output for two words given path-validity constraint
2022,L,L4,Recognition,Match arrows to labels in a second FST
2022,L,L5,Recognition,Determine letter sequence produced by reversed FST
2022,M,M1,Recognition,Match algorithm names to table labels based on F1-score data
2022,M,M2,Recognition,Calculate F1-score under alternative segmentation
2022,M,M3,Production,Draw finite-state transducers implementing two algorithms
2022,N,N1,Recognition,Circle noun forms following a common Dinka pattern
2022,N,N2,Production,Fill in missing Dinka verb forms
2022,N,N3,Production,Predict missing singular or plural forms for Dinka nouns
2022,N,N4,Recognition,Explain observed patterns in Dinka nouns and verbs in English
2022,O,O1,Production,Translate English sentences into Iyo'awujwa'
2022,O,O2,Recognition,Describe Iyo'awujwa' verb formation patterns in English
2022,P,P1,Recognition,Fill in missing description components for food database entries
2022,P,P2,Recognition,Fill in missing estimated values in food database
2022,P,P3,Recognition,Describe how estimated values are determined in English
2022,P,P4,Recognition,Identify what type of information each facet letter corresponds to
2022,P,P5,Recognition,Describe what specific facets mean in English
2022,P,P6,Recognition,Name a food ingredient with a given facet code
2022,P,P7,Production,Write food descriptions in formal facet notation for given IDs
2022,P,P8,Recognition,Determine whether an extra facet improves accuracy and explain
2022,Q,Q1,Recognition,Translate Niuean sentences into English
2022,Q,Q2,Production,Translate English sentences into Niuean
2022,Q,Q3,Recognition,Describe observed patterns of Niuean grammar in English
2022,R,R1,Recognition,Fill in environment conditions and phoneme outputs for orthographic y rules
2022,R,R2,Recognition,Fill in environment conditions and phoneme outputs for p/t/k rules
2022,R,R3,Production,Produce phonetic transcriptions for new Carib words using derived rules
2022,R,R4,Recognition,Explain G2P rules developed for Carib in English
2024,A,A1,Recognition,Match numbered abbreviations to blank slots for given Latin words
2024,A,A2,Recognition,Identify which abbreviated form does NOT match the others
2024,A,A3,Recognition,Identify which symbol functions like the ampersand
2024,A,A4,Production,Write abbreviated forms for Latin words using a symbol bank
2024,A,A5,Recognition,Identify the English word spelled by leftover symbols
2024,B,B1,Production,Write Warlpiri sentences (translate English into Warlpiri)
2024,B,B2,Recognition,Circle two Warlpiri words with the same meaning
2024,B,B3,Recognition,Choose correct Warlpiri locative form for each given phrase (A or B)
2024,C,C1,Recognition,Determine whether each Ewe name is female or male
2024,C,C2,Recognition,Match dates to Ewe names
2024,C,C3,Recognition,Select which date a child named Kofi could have been born
2024,C,C4,Recognition,Select which name fits a child born on a given date
2024,C,C5,Recognition,Translate Ewe day names into English
2024,D,D1,Recognition,Fill in missing grammaticality judgments in a table
2024,D,D2,Recognition,Identify what hidden words stand for
2024,D,D3,Recognition,Count sentences matching grammaticality judgments
2024,D,D4,Recognition,Decode cipher-encoded words produced by the robot
2024,E,E1,Recognition,Match katakana characters to Japanese flag semaphore images
2024,E,E2,Recognition,Circle which katakana character corresponds to the unused semaphore image
2024,F,F1,Production,Produce Paiwan progressive verb forms for given verb stems
2024,G,G1,Recognition,Circle which shape a rational speaker means by saying "circle"
2024,G,G2,Recognition,Select best description for each shape from provided list
2024,G,G3,Recognition,Select best description for each shape from provided list (extended)
2024,G,G4,Recognition,Fill in missing error rate values in table
2024,G,G5,Recognition,Fill in blanks in a loss equation
2024,G,G6,Recognition,Circle which weight values cause one-word descriptions for all shapes
2024,H,H1,Production,Write Tariana statements with correct evidential markers
2024,H,H2,Recognition,Identify correct Tariana word to fill blank in accusation sentence
2024,H,H3,Recognition,Circle which evidence types each Tariana statement implies
2024,H,H4,Production,Write Tariana statements for given scenarios with specific evidentials
2024,I,I1,Recognition,Match Scottish Gaelic place names to English meanings
2024,I,I2,Recognition,Identify which Gaelic word corresponds to two different English meanings
