Year,Question_ID,Problem_Name,Categories,Point_Value,Mean_Score,Median_Score
2018,D,Intergalactic Grammars,"Computational: Application, Semantics",5,,
2018,E,Parties in Palauan,"Morphology, Semantics",5,,
2018,F,A Match Made in Vietnam,Matching,15,,
2018,G,By the Same Token,"Computational: Application, Morphology",10,,
2018,H,"N'ko, M'kay",Writing System,15,,
2018,I,A Menya Puzzle,"Matching, Rosetta, Morphology, Syntax",15,31.15,24.07
2018,J,It's True: The Truth About Chalcatongo Mixtec,"Matching, Rosetta, Morphology, Syntax",10,67.63,70
2018,K,Sri Lankan Names,Writing System,10,46.13,48.6
2018,L,Peeled Potato Act with Annie,"Computational: Application, Matching, Semantics",5,46.42,50
2018,M,Quests and Requests in Nivkh,"Matching, Morphology",15,35.72,10.43
2018,N,You've Got This: Fijian Ownership,"Rosetta, Morphology, Semantics",10,51.88,60.91
2018,O,To Know or Not to Know Literary Tamil,Morphology,5,57.58,74.24
2018,P,I Know What I Saw,"Matching, Rosetta, Syntax",5,58.18,68.2
2018,Q,Better Left Unsaid,Phonology,10,65.26,73.08
2018,R,A Make-Shift Code,"Computational: Application, Syntax",15,47.82,57.98
2017,A,A Little Tshiluba,"Rosetta, Morphology, Syntax",5,69.34,78.12
2017,B,Pho Bar,Matching,10,60.13,70
2017,C,LOLWUT,Computational: Discovery,10,78.05,89.33
2017,D,Let's Roll!,Numbers,10,71.95,81.81
2017,E,On the Right Track,Writing System,20,35.74,28
2017,F,Transition(al) Numbers,"Computational: Application, Morphology",10,59.33,70
2017,G,Magik Yupik,Numbers,15,35.31,16
2017,H,Nothing but (Net)works,Computational: Application,15,55.72,100
2017,I,Basque Tasque,"Rosetta, Morphology, Syntax",10,,
2017,J,The Norwegian Problem / A Norwegian Problem / Norwegian Problems / The Norwegian Problems?,"Matching, Rosetta, Morphology, Syntax",5,,
2017,K,Sentences that go on and on and on and on,"Computational: Application, Syntax",10,,
2017,L,"The Goat, the Mother, and the Wardrobe","Rosetta, Morphology, Syntax",15,,
2017,M,It will be you who solves this problem!,"Rosetta, Morphology, Syntax, Semantics",5,,
2017,N,To Be Determined,"Matching, Rosetta, Morphology, Syntax",10,,
2017,O,Common Sense,Semantics,10,,
2017,P,Do you see what I see?,"Rosetta, Morphology",10,,
2017,Q,Pluses and Minuses,Numbers,15,,
2017,R,Text-o-matic,"Computational: Discovery, Morphology",10,,
2016,A,Tangled up in Nots,"Rosetta, Syntax, Semantics",5,,
2016,B,DAWG Breeds,Computational: Application,10,,
2016,C,The Curious Case of Estonian,Morphology,5,,
2016,D,That's an Order,Semantics,15,,
2016,E,"Be There, or be Squared",Numbers,10,,
2016,F,Take one Tablet and Call me in the Morning,"Matching, Morphology, Syntax",15,,
2016,G,Signs from Above,"Matching, Semantics",20,,
2016,H,Fan Fiction,"Computational: Application, Syntax",10,,
2016,I,Deriving Enjoyment,"Rosetta, Morphology, Semantics",10,,
2016,J,Get Edumacated,Stress,15,,
2016,K,"Kings, Queens, and Counts","Computational: Discovery, Semantics",15,,
2016,L,The Short Hand of the Law,Computational: Application,10,,
2016,M,Sound Judgments,Phonology,5,,
2016,N,What Happened at the Chess Tournament?,"Matching, Syntax, Semantics",5,,
2016,O,Don't Sell the House,"Rosetta, Syntax, Semantics",10,,
2016,P,A matter of Horn clauses,"Computational: Discovery, Syntax",10,,
2016,Q,A cup of Javanese,Writing System,15,,
2016,R,Changing the Subject,"Rosetta, Morphology",5,,
